189517764,6065,1/2/1__a40b__a14c,2020-03-11 01:15:00,15,Near End,TN-AI4440.1,AMM 2PB,0,0,-49.2,-48.5,0,16.0,16.0,-,2/1,a40b,a14c,2,1
189517764,6065,1/3/1__a40c__a26b,2020-03-11 01:15:00,15,Near End,TN-AI4440.1,AMM 2PB,0,0,-41.3,-40.4,0,19.0,19.0,-,3/1,a40c,a26b,3,1
-503260330,6095,1/2/1__n82a__272c,2020-03-11 01:15:00,15,Near End,AL5983.1,AMM 6PC,0,0,-48.5,-47.6,0,8.0,8.0,-,2/1,n82a,272c,2,1
-503260330,6095,1/3/1__n83b__570a,2020-03-11 01:15:00,15,Near End,AL5983.1,AMM 6PC,0,0,-40.7,-40.1,0,-3.0,-3.0,-,3/1,n83b,570a,3,1
-503260330,6095,1/4/1__n83c__x40a,2020-03-11 01:15:00,15,Near End,AL5983.1,AMM 6PC,0,0,-43.5,-42.9,0,-6.0,-6.0,-,4/1,n83c,x40a,4,1
1010166078,6067,1/5/1__ATDp__ATJp,2020-03-11 01:15:00,15,Near End,TN-ALT13.1,AMM 20PB,0,0,-45.1,-44.5,0,14.0,14.0,-,5/1,ATDp,ATJp,5,1
1010166078,6067,1/2/1__ATDm__ATJm,2020-03-11 01:15:00,15,Near End,TN-ALT13.1,AMM 20PB,0,0,-43.8,-42.9,0,14.0,14.0,-,2/1,ATDm,ATJm,2,1
1010166078,6067,1/18+19/1__ATDf__A17b,2020-03-11 01:15:00,15,Near End,TN-ALT13.1,AMM 20PB,0,0,-42.9,-42.0,0,12.0,12.0,-,18+19/1,ATDf,A17b,18,1
1010166078,6067,1/18+19/1__ATDf__A17b,2020-03-11 01:15:00,15,Near End,TN-ALT13.1,AMM 20PB,0,0,-42.9,-42.0,0,12.0,12.0,-,18+19/1,ATDf,A17b,19,1
1010166078,6067,1/14+15/1__ATDd__A27b,2020-03-11 01:15:00,15,Near End,TN-ALT13.1,AMM 20PB,0,0,-51.1,-50.4,0,0.0,0.0,-,14+15/1,ATDd,A27b,14,1
1010166078,6067,1/14+15/1__ATDd__A27b,2020-03-11 01:15:00,15,Near End,TN-ALT13.1,AMM 20PB,0,0,-51.1,-50.4,0,0.0,0.0,-,14+15/1,ATDd,A27b,15,1
